[2022-04-30 03:29:55,870] [464] 172.28.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:37:16,603] [481] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:37:16,739] [481] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:37:16,851] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:16,947] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:17,053] [481] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:37:17,133] [481] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:37:17,169] [481] 127.0.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-04-30 03:37:17,323] [481] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:37:17,463] [481] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:37:17,573] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:17,666] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:17,773] [481] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:37:17,969] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:17,978] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:18,201] [481] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:37:18,310] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:18,415] [481] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:37:18,519] [481] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:37:18,714] [481] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:37:18,915] [481] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:37:19,119] [481] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-04-30 03:37:19,323] [481] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-04-30 03:37:19,525] [481] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-04-30 03:44:06,622] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:06,927] [487] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:44:06,932] [487] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:44:07,033] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:07,418] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:07,627] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:07,832] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:08,035] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:08,241] [487] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:44:08,378] [487] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:44:08,490] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:08,584] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:08,691] [487] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:44:08,774] [487] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:44:08,811] [487] 127.0.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-04-30 03:44:08,982] [487] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-04-30 03:44:09,121] [487] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:44:09,231] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:09,327] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:09,437] [487] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:44:09,636] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:09,643] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:09,865] [487] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-04-30 03:44:09,973] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:10,072] [487] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-04-30 03:44:10,175] [487] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-04-30 03:44:10,363] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:10,573] [487] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:10,837] [487] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-04-30 03:44:11,083] [487] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-04-30 03:44:11,296] [487] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-04-30 03:44:17,210] [489] 172.28.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-04-30 03:44:20,018] [489] 172.28.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-04-30 03:44:20,488] [489] 172.28.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-04-30 03:44:21,269] [489] 172.28.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-06 20:50:36,301] [10] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:50:36,661] [10] 172.23.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-06 20:54:51,044] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:51,224] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:51,227] [24] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-06 20:54:51,294] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:51,593] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:51,740] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:51,885] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:52,034] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:52,170] [24] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-06 20:54:52,307] [24] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-06 20:54:52,379] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:52,438] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:52,508] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:52,564] [24] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-06 20:54:52,585] [24] 127.0.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-06 20:54:52,688] [24] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-06 20:54:52,783] [24] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-06 20:54:52,855] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:52,917] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:52,984] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:53,122] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,129] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,286] [24] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-06 20:54:53,356] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,423] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,490] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:53,624] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:53,778] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:53,929] [24] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-05-06 20:54:54,067] [24] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-05-06 20:54:54,202] [24] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
